,0,1,2,3,4,5,6,7,8,9,label
1,2,15,12,8,15,13,6,11,12,6,2
1,2,16,12,8,15,12,6,11,12,6,2
1,2,16,12,8,14,12,6,12,12,6,2
1,3,15,12,8,14,12,6,12,12,6,2
1,3,15,12,8,14,12,6,12,13,5,2
1,3,15,13,8,13,12,6,12,13,5,2
1,3,15,13,7,13,12,6,12,14,5,2
1,3,15,13,6,13,12,6,12,14,6,2
1,3,15,13,6,13,12,7,12,13,6,2
1,3,15,13,6,13,12,6,12,13,7,2
1,3,14,13,7,13,12,6,12,13,7,2
1,3,14,13,7,13,12,5,12,14,7,2
1,3,14,12,7,14,12,5,12,14,7,2
1,3,13,12,7,14,13,5,12,14,7,2
1,3,13,12,7,14,13,6,11,14,7,2
1,3,14,12,7,13,13,6,11,14,7,2
1,4,14,12,7,13,13,5,11,14,7,2
1,4,14,12,7,12,13,5,12,14,7,2
1,4,13,12,7,12,13,5,12,15,7,2
1,4,12,12,8,12,13,5,12,15,7,2
1,4,11,12,8,12,13,5,13,15,7,2
1,4,11,12,7,12,13,5,13,15,8,2
1,4,11,12,7,12,13,6,12,15,8,2
1,4,11,12,7,12,12,6,13,15,8,2
1,4,11,12,7,12,14,5,12,15,8,2
1,4,11,12,6,12,14,5,13,15,8,2
1,4,11,12,6,11,15,5,13,15,8,2
1,5,11,12,6,10,15,5,13,15,8,2
1,5,12,11,6,10,15,5,13,15,8,2
1,5,12,11,5,10,15,6,13,15,8,2
1,5,11,11,5,10,16,6,13,15,8,2
1,6,11,11,5,9,16,6,13,15,8,2
1,6,11,12,5,9,16,6,13,15,7,2
1,7,11,12,5,9,15,6,13,15,7,2
1,7,11,12,5,9,16,6,12,15,7,2
1,7,11,12,5,9,17,6,12,14,7,2
1,7,11,13,5,9,17,6,11,14,7,2
1,7,11,12,6,9,17,6,11,14,7,2
1,7,11,12,6,9,17,6,11,13,8,2
1,8,11,12,6,8,17,6,11,13,8,2
1,8,11,13,6,8,17,6,10,13,8,2
1,8,11,12,6,8,17,6,10,13,9,2
1,8,10,12,6,8,17,6,10,13,10,2
1,8,10,12,6,8,16,7,10,13,10,2
1,8,10,12,6,8,16,8,10,12,10,2
1,8,10,12,6,8,15,8,10,12,11,2
9,8,9,12,6,8,15,8,10,13,11,2
8,8,8,12,6,8,15,8,10,13,12,2
8,8,8,12,6,9,15,8,10,13,11,2
8,8,8,12,6,10,15,8,9,13,11,2
7,8,7,12,6,10,15,9,9,13,11,2
7,8,7,12,6,10,15,9,9,14,10,2
7,8,7,12,6,10,15,9,8,14,11,2
7,7,7,12,6,10,15,9,9,14,11,2
7,7,7,12,6,10,15,10,9,13,11,2
7,7,7,12,6,10,16,10,9,12,11,2
7,7,7,11,6,10,16,10,9,13,11,2
7,7,7,10,7,10,16,10,9,13,11,2
7,8,7,10,7,9,16,10,9,13,11,2
8,8,8,10,7,9,15,10,9,13,11,2
8,8,8,9,7,9,15,10,9,14,11,2
8,8,8,8,7,9,15,10,9,15,11,2
8,8,8,7,7,9,16,10,9,15,11,2
7,8,7,8,7,9,16,10,9,15,11,2
7,8,7,9,7,9,15,10,9,15,11,2
8,8,8,9,7,8,15,10,9,15,11,2
9,8,9,9,7,8,15,9,9,15,11,2
9,8,9,9,7,9,14,9,9,15,11,2
9,8,9,9,7,8,14,10,9,15,11,2
1,8,10,8,7,8,14,10,9,15,11,2
1,9,10,8,7,7,14,10,9,15,11,2
1,9,10,8,7,7,13,10,9,16,11,2
1,9,10,8,7,7,13,10,8,16,12,2
1,9,11,8,6,7,13,10,8,16,12,2
1,9,11,8,7,7,13,10,8,15,12,2
1,10,11,7,7,7,13,10,8,15,12,2
1,10,11,7,7,7,13,10,8,16,11,2
1,10,10,7,7,7,13,11,8,16,11,2
1,11,10,7,7,7,13,11,8,15,11,2
1,10,10,8,7,7,13,11,8,15,11,2
