,0,1,2,3,4,5,6,7,8,9,
1,0,0,0,0,25,75,0,0,0,0,2
1,0,0,0,0,24,76,0,0,0,0,2
1,0,0,0,0,23,77,0,0,0,0,2
1,0,0,0,0,22,77,1,0,0,0,2
1,0,0,0,0,21,77,1,0,1,0,2
1,0,0,0,0,20,77,1,0,2,0,2
1,0,0,0,0,19,77,1,0,3,0,2
1,0,0,0,0,18,77,1,0,3,1,2
1,0,0,0,0,17,77,1,0,4,1,2
1,0,0,0,0,16,77,1,0,5,1,2
1,0,0,0,0,15,77,1,0,6,1,2
1,0,0,0,0,14,77,1,0,6,2,2
1,0,0,0,0,13,77,1,0,6,3,2
1,0,0,0,0,12,77,1,0,6,4,2
1,0,0,0,0,11,77,1,0,6,5,2
1,0,0,0,0,10,77,1,0,6,6,2
1,0,0,0,0,9,77,1,0,6,7,2
1,0,0,0,0,8,77,1,0,6,8,2
1,0,0,0,0,7,77,1,0,6,9,2
1,0,0,0,0,6,77,1,0,6,10,2
1,0,0,0,0,5,77,1,0,6,11,2
1,0,0,0,0,4,77,1,0,6,12,2
1,0,0,0,0,4,76,1,0,6,13,2
1,0,0,0,0,4,75,1,0,6,14,2
1,0,0,0,0,4,74,1,0,7,14,2
1,0,0,0,0,4,73,1,0,7,15,2
1,0,0,0,0,4,72,1,0,7,16,2
1,0,0,0,0,4,71,1,0,7,17,2
1,0,0,0,0,4,70,1,0,7,18,2
1,0,0,0,0,4,69,1,0,7,19,2
1,0,0,0,0,4,68,1,0,7,20,2
1,0,0,0,0,4,67,1,0,7,21,2
1,0,0,0,0,4,66,1,0,7,22,2
1,0,0,0,0,4,65,1,0,7,23,2
1,0,0,0,0,4,64,1,0,7,24,2
1,0,0,0,0,4,63,1,0,7,25,2
1,0,0,0,0,4,62,1,0,7,26,2
1,0,0,0,0,4,61,1,0,7,27,2
1,0,0,0,0,4,60,1,0,7,28,2
1,0,0,0,0,4,59,1,0,7,29,2
1,0,0,0,0,4,58,1,0,7,30,2
1,0,0,0,0,4,57,1,0,7,31,2
1,0,0,0,0,4,56,1,0,7,32,2
1,0,0,0,0,4,55,1,0,7,33,2
1,0,0,0,0,4,54,1,0,7,34,2
1,0,0,0,0,4,53,1,0,7,35,2
1,0,0,0,0,4,52,1,1,7,35,2
1,0,0,0,0,4,51,1,2,7,35,2
1,0,0,0,0,4,50,1,2,7,36,2
1,0,0,0,0,4,49,1,2,7,37,2
1,0,0,0,0,4,48,1,2,7,38,2
1,0,0,0,0,4,47,1,2,8,38,2
1,0,0,0,0,4,46,1,2,9,38,2
1,0,0,0,0,4,45,1,2,10,38,2
1,0,0,0,0,4,44,1,2,10,39,2
1,0,0,0,0,4,43,1,2,10,40,2
1,0,0,0,0,4,42,1,2,10,41,2
1,0,0,0,0,4,41,1,2,10,42,2
1,0,0,0,0,4,40,1,2,11,42,2
1,0,0,0,0,4,39,1,2,11,43,1
1,0,0,0,0,4,38,1,2,11,44,1
1,0,0,0,0,4,37,1,2,11,45,1
1,0,0,0,0,4,36,1,3,11,45,1
1,0,0,0,0,4,35,1,4,11,45,1
1,0,0,0,0,4,34,1,5,11,45,1
1,0,0,0,0,4,33,1,6,11,45,1
1,0,0,0,0,4,32,1,6,11,46,1
1,0,0,0,0,4,31,1,6,11,47,1
1,0,0,0,0,4,30,1,6,11,48,1
1,0,0,0,0,4,29,1,6,11,49,1
1,0,0,0,0,4,28,1,6,11,50,1
1,0,0,0,0,4,27,1,6,11,51,1
1,0,0,0,0,4,26,1,6,11,52,1
1,0,0,0,0,4,25,1,6,11,53,1
1,0,0,0,0,4,24,1,6,11,54,1
1,0,0,0,0,4,23,1,6,11,55,1
1,0,0,0,0,4,22,1,6,12,55,1
1,0,0,0,0,4,21,1,6,13,55,1
1,0,0,0,0,4,20,1,6,13,56,1
1,0,0,0,0,4,19,1,6,13,57,1
1,0,0,0,0,4,18,1,6,13,58,1
1,0,0,0,0,4,17,1,6,13,59,1
1,0,0,0,0,4,16,1,6,13,60,1
1,0,0,0,0,4,15,1,6,13,61,1
1,0,0,0,0,4,14,1,6,13,62,1
1,0,0,0,0,4,13,1,6,13,63,1
1,0,0,0,0,4,12,1,6,13,64,1
1,0,0,0,0,4,11,1,6,13,65,1
1,0,0,0,0,4,10,1,6,13,66,1
1,0,0,0,0,4,9,1,6,13,67,1
1,0,0,0,0,4,8,1,6,13,68,1
1,0,0,0,0,4,7,1,6,14,68,1
1,0,0,0,0,4,6,1,6,15,68,1
1,0,0,0,0,4,5,2,6,15,68,1
1,0,0,0,0,0,0,0,28,72,0,1
1,0,0,0,0,0,0,1,27,72,0,1
1,0,0,0,0,0,0,1,26,73,0,1
1,0,0,0,0,0,0,1,25,73,1,1
1,0,0,0,0,0,0,1,24,73,2,1
1,0,0,0,0,0,0,1,23,73,3,1
1,0,0,0,0,0,0,1,22,73,4,1
1,0,0,0,0,0,0,1,21,73,5,1
1,0,0,0,0,0,0,1,20,74,5,1
1,0,0,0,0,0,0,1,19,75,5,1
1,0,0,0,0,0,0,1,18,75,6,1
1,0,0,0,0,0,0,1,17,76,6,1
1,0,0,0,0,0,0,1,16,76,7,1
1,0,0,0,0,0,0,1,15,76,8,1
1,0,0,0,0,0,0,1,14,76,9,1
1,0,0,0,0,0,0,1,13,76,10,1
1,0,0,0,0,0,0,1,12,76,11,1
